id,ASW,CEU,GWD,PEL,PUR,pop
HG00551,0.0,0.33,0.023,0.0,0.646,PUR
HG00553,0.0,0.136,0.114,0.0,0.749,PUR
HG00554,0.0,0.172,0.0,0.068,0.76,PUR
HG00637,0.396,0.0,0.202,0.006,0.396,PUR
HG00638,0.0,0.0,0.0,0.018,0.982,PUR
HG00640,0.0,0.0,0.0,0.091,0.909,PUR
HG00641,0.0,0.241,0.0,0.022,0.737,PUR
HG00731,0.0,0.031,0.0,0.333,0.635,PUR
HG00732,0.0,0.0,0.0,0.448,0.552,PUR
HG00734,0.0,0.0,0.117,0.0,0.883,PUR
HG00736,0.0,0.804,0.0,0.0,0.196,PUR
HG00737,0.0,0.182,0.0,0.0,0.818,PUR
HG00739,0.0,0.154,0.0,0.031,0.815,PUR
HG00740,0.216,0.0,0.151,0.026,0.607,PUR
HG00742,0.0,0.422,0.031,0.0,0.547,PUR
HG00743,0.0,0.378,0.0,0.0,0.622,PUR
HG01047,0.0,0.267,0.0,0.11,0.623,PUR
HG01048,0.0,0.439,0.0,0.0,0.561,PUR
HG01049,0.0,0.133,0.0,0.0,0.867,PUR
HG01051,0.327,0.145,0.0,0.0,0.528,PUR
HG01052,0.0,0.281,0.0,0.0,0.719,PUR
HG01054,0.0,0.354,0.0,0.187,0.459,PUR
HG01055,0.087,0.187,0.0,0.0,0.726,PUR
HG01058,0.062,0.0,0.096,0.603,0.239,PUR
HG01060,0.0,0.048,0.0,0.0,0.952,PUR
HG01061,0.0,0.0,0.021,0.0,0.979,PUR
HG01063,0.0,0.0,0.348,0.144,0.509,PUR
HG01064,0.0,0.0,0.0,0.0,1.0,PUR
HG01066,0.0,0.0,0.0,0.19,0.81,PUR
HG01067,0.0,0.0,0.0,0.279,0.721,PUR
HG01069,0.0,0.278,0.0,0.283,0.44,PUR
HG01070,0.0,0.558,0.0,0.0,0.442,PUR
HG01072,0.0,0.384,0.0,0.084,0.532,PUR
HG01073,0.0,0.0,0.0,0.151,0.849,PUR
HG01075,0.0,0.135,0.0,0.0,0.865,PUR
HG01077,0.0,0.009,0.0,0.175,0.817,PUR
HG01079,0.0,0.215,0.0,0.134,0.651,PUR
HG01080,0.0,0.0,0.0,0.073,0.927,PUR
HG01082,0.0,0.0,0.0,0.277,0.723,PUR
HG01083,0.0,0.423,0.0,0.034,0.543,PUR
HG01085,0.036,0.198,0.172,0.0,0.594,PUR
HG01086,0.0,0.459,0.0,0.0,0.541,PUR
HG01088,0.057,0.43,0.1,0.0,0.413,PUR
HG01089,0.0,0.122,0.0,0.14,0.737,PUR
HG01092,0.0,0.572,0.0,0.0,0.428,PUR
HG01094,0.0,0.211,0.0,0.0,0.789,PUR
HG01095,0.0,0.121,0.017,0.0,0.862,PUR
HG01097,0.0,0.067,0.0,0.164,0.769,PUR
HG01098,0.005,0.0,0.0,0.0,0.995,PUR
HG01101,0.0,0.0,0.0,0.324,0.676,PUR
HG01102,0.0,0.328,0.127,0.0,0.545,PUR
HG01104,0.017,0.0,0.351,0.255,0.376,PUR
HG01105,0.0,0.368,0.0,0.0,0.632,PUR
HG01107,0.238,0.0,0.269,0.025,0.467,PUR
HG01108,0.525,0.0,0.153,0.0,0.322,PUR
HG01110,0.011,0.143,0.0,0.0,0.846,PUR
HG01111,0.0,0.159,0.0,0.066,0.775,PUR
HG01161,0.0,0.502,0.0,0.0,0.498,PUR
HG01162,0.0,0.0,0.128,0.13,0.743,PUR
HG01164,0.0,0.213,0.254,0.0,0.532,PUR
HG01167,0.0,0.0,0.06,0.0,0.94,PUR
HG01168,0.0,0.546,0.0,0.0,0.454,PUR
HG01170,0.0,0.275,0.0,0.051,0.674,PUR
HG01171,0.0,0.338,0.0,0.063,0.599,PUR
HG01173,0.0,0.406,0.0,0.0,0.594,PUR
HG01174,0.0,0.0,0.141,0.0,0.859,PUR
HG01176,0.0,0.0,0.263,0.0,0.737,PUR
HG01177,0.0,0.558,0.0,0.0,0.442,PUR
HG01182,0.0,0.227,0.0,0.289,0.484,PUR
HG01183,0.0,0.323,0.0,0.009,0.668,PUR
HG01187,0.0,0.028,0.0,0.149,0.824,PUR
HG01188,0.0,0.114,0.0,0.0,0.886,PUR
HG01190,0.551,0.0,0.033,0.153,0.262,PUR
HG01191,0.0,0.078,0.0,0.209,0.713,PUR
HG01197,0.0,0.0,0.0,0.391,0.609,PUR
HG01198,0.0,0.106,0.015,0.03,0.85,PUR
HG01200,0.055,0.23,0.036,0.105,0.574,PUR
HG01204,0.025,0.348,0.0,0.0,0.627,PUR
HG01205,0.0,0.44,0.0,0.0,0.56,PUR
HG01241,0.555,0.0,0.249,0.0,0.196,PUR
HG01242,0.275,0.0,0.53,0.014,0.181,PUR
HG01247,0.0,0.0,0.124,0.0,0.876,PUR
HG01248,0.0,0.299,0.0,0.002,0.699,PUR
HG01286,0.0,0.0,0.12,0.355,0.524,PUR
HG01302,0.0,0.134,0.0,0.038,0.828,PUR
HG01303,0.0,0.46,0.0,0.226,0.314,PUR
HG01305,0.216,0.0,0.0,0.0,0.784,PUR
HG01308,0.0,0.325,0.0,0.0,0.675,PUR
HG01311,0.0,0.36,0.0,0.0,0.64,PUR
HG01312,0.0,0.198,0.089,0.116,0.597,PUR
HG01323,0.0,0.254,0.0,0.193,0.554,PUR
HG01325,0.103,0.0,0.0,0.0,0.897,PUR
HG01326,0.0,0.0,0.236,0.0,0.764,PUR
HG01392,0.0,0.289,0.0,0.0,0.711,PUR
HG01393,0.0,0.054,0.044,0.0,0.903,PUR
HG01395,0.0,0.0,0.0,0.036,0.964,PUR
HG01396,0.0,0.0,0.365,0.047,0.588,PUR
HG01398,0.0,0.0,0.03,0.137,0.833,PUR
HG01402,0.0,0.0,0.013,0.209,0.778,PUR
HG01403,0.0,0.226,0.0,0.0,0.774,PUR
HG01405,0.0,0.126,0.0,0.068,0.806,PUR
HG01412,0.0,0.311,0.0,0.0,0.689,PUR
HG01413,0.0,0.0,0.057,0.0,0.943,PUR
HG01414,0.0,0.029,0.0,0.169,0.802,PUR
HG01565,0.0,0.0,0.0,1.0,0.0,PEL
HG01566,0.0,0.089,0.0,0.618,0.293,PEL
HG01571,0.0,0.0,0.0,1.0,0.0,PEL
HG01572,0.0,0.0,0.0,1.0,0.0,PEL
HG01577,0.0,0.267,0.0,0.733,0.0,PEL
HG01578,0.0,0.046,0.0,0.954,0.0,PEL
HG01892,0.0,0.345,0.01,0.606,0.039,PEL
HG01893,0.0,0.0,0.0,1.0,0.0,PEL
HG01917,0.0,0.0,0.0,1.0,0.0,PEL
HG01918,0.0,0.0,0.0,1.0,0.0,PEL
HG01920,0.0,0.0,0.0,1.0,0.0,PEL
HG01921,0.0,0.168,0.0,0.619,0.213,PEL
HG01923,0.0,0.006,0.0,0.823,0.17,PEL
HG01924,0.083,0.0,0.203,0.636,0.078,PEL
HG01926,0.0,0.0,0.0,1.0,0.0,PEL
HG01927,0.0,0.0,0.0,1.0,0.0,PEL
HG01932,0.0,0.0,0.0,1.0,0.0,PEL
HG01933,0.0,0.483,0.0,0.517,0.0,PEL
HG01935,0.0,0.0,0.0,1.0,0.0,PEL
HG01936,0.0,0.187,0.078,0.735,0.0,PEL
HG01938,0.0,0.0,0.0,1.0,0.0,PEL
HG01939,0.0,0.0,0.0,1.0,0.0,PEL
HG01941,0.0,0.0,0.012,0.988,0.0,PEL
HG01942,0.0,0.0,0.0,1.0,0.0,PEL
HG01944,0.0,0.0,0.0,1.0,0.0,PEL
HG01945,0.0,0.0,0.032,0.923,0.045,PEL
HG01947,0.0,0.0,0.0,1.0,0.0,PEL
HG01948,0.0,0.0,0.0,1.0,0.0,PEL
HG01950,0.0,0.0,0.167,0.833,0.0,PEL
HG01951,0.0,0.0,0.0,1.0,0.0,PEL
HG01953,0.0,0.0,0.0,1.0,0.0,PEL
HG01954,0.0,0.0,0.0,1.0,0.0,PEL
HG01961,0.0,0.0,0.0,1.0,0.0,PEL
HG01965,0.0,0.0,0.0,0.997,0.003,PEL
HG01967,0.0,0.021,0.0,0.958,0.021,PEL
HG01968,0.0,0.0,0.0,1.0,0.0,PEL
HG01970,0.0,0.271,0.0,0.729,0.0,PEL
HG01971,0.0,0.0,0.109,0.891,0.0,PEL
HG01973,0.0,0.0,0.287,0.713,0.0,PEL
HG01974,0.0,0.0,0.0,1.0,0.0,PEL
